Location,Station_ID,Transect,Distance,Long,Lat,Dist_urban (m),Dist_roads (m),Dist_edge (m),Elev (m),
Cullin Ranch,CUL_T1_180,T1,180,-122.3064,38.1289,2076.0620,193.6105,1.9224,1.7438,
Cullin Ranch,CUL_T1_200,T1,200,-122.3063,38.1288,2057.4942,211.5776,1.3794,1.7174,
Cullin Ranch,CUL_T2_20,T2,20,-122.3116,38.1246,2052.2597,12.0361,19.2483,0.3768,
Cullin Ranch,CUL_T2_40,T2,40,-122.3118,38.1244,2048.6263,12.4065,23.3129,0.3921,
Cullin Ranch,CUL_T2_60,T2,60,-122.3118,38.1243,2042.6939,15.5751,36.1873,0.4716,
Cullin Ranch,CUL_T2_80,T2,80,-122.3120,38.1241,2040.1081,15.4125,37.6664,0.5063,
Cullin Ranch,CUL_T2_100,T2,100,-122.3121,38.1239,2040.7659,12.1164,28.9214,0.4633,
Cullin Ranch,CUL_T2_120,T2,120,-122.3122,38.1238,2038.2933,12.6968,23.4615,0.5189,
Cullin Ranch,CUL_T2_140,T2,140,-122.3123,38.1236,2034.8893,14.5351,23.3573,0.3083,
Cullin Ranch,CUL_T2_160,T2,160,-122.3124,38.1234,2030.9586,17.1840,24.7663,0.2893,
Cullin Ranch,CUL_T2_180,T2,180,-122.3125,38.1232,2024.9721,22.1710,29.6145,0.5411,
Cullin Ranch,CUL_T2_200,T2,200,-122.3123,38.1231,1997.7730,49.1240,56.5844,0.4122,
Dixon Landing,DIX_T1_20,T1,20,-121.9285,37.4566,55.6971,159.7439,12.8595,2.7174,
Dixon Landing,DIX_T1_40,T1,40,-121.9286,37.4568,58.7650,171.4310,14.1350,2.4657,
Dixon Landing,DIX_T1_60,T1,60,-121.9287,37.4569,57.8813,188.7496,14.0117,2.4224,
Dixon Landing,DIX_T1_80,T1,80,-121.9289,37.4570,59.4587,207.7627,10.9552,2.5138,
Dixon Landing,DIX_T1_100,T1,100,-121.9291,37.4570,59.6201,226.3615,9.0943,3.1551,
Dixon Landing,DIX_T1_120,T1,120,-121.9293,37.4570,58.1038,245.0546,8.7585,2.6516,
Dixon Landing,DIX_T1_140,T1,140,-121.9295,37.4570,58.0390,262.5871,5.5263,2.4665,
Dixon Landing,DIX_T1_160,T1,160,-121.9298,37.4570,56.2849,279.7427,4.3228,2.3846,
Dixon Landing,DIX_T2_20,T2,20,-121.9283,37.4568,79.4820,152.3384,0.6835,1.2729,
Dixon Landing,DIX_T2_40,T2,40,-121.9282,37.4567,80.8896,136.1552,2.8240,1.2425,
Dixon Landing,DIX_T2_60,T2,60,-121.9281,37.4565,77.4897,125.1907,23.7539,1.3780,
Dixon Landing,DIX_T2_80,T2,80,-121.9280,37.4563,76.8443,113.7760,41.3033,1.4135,
Dixon Landing,DIX_T2_100,T2,100,-121.9280,37.4561,78.3200,101.0139,32.0273,1.4266,
Dixon Landing,DIX_T2_120,T2,120,-121.9279,37.4559,78.2270,91.6333,28.8520,1.4542,
Dixon Landing,DIX_T2_140,T2,140,-121.9279,37.4557,74.5706,79.8347,25.9257,1.4923,
Dixon Landing,DIX_T2_160,T2,160,-121.9278,37.4556,68.1619,63.8882,8.6625,1.7684,
Dotson Marsh North,DTN_T1_20,T1,20,-122.3636,37.9827,310.3908,383.0508,5.9207,,
Dotson Marsh North,DTN_T1_40,T1,40,-122.3636,37.9829,324.4561,404.2028,10.4542,1.8777,
Dotson Marsh North,DTN_T1_60,T1,60,-122.3637,37.9832,341.6929,429.6789,10.8582,1.7395,
Dotson Marsh North,DTN_T2_20,T2,20,-122.3627,37.9842,466.2351,523.4280,38.9886,2.6589,
Dotson Marsh North,DTN_T2_40,T2,40,-122.3630,37.9841,464.8744,537.8343,26.2048,1.9700,
Dotson Marsh North,DTN_T2_60,T2,60,-122.3632,37.9840,442.5095,530.3695,5.4293,1.4333,
Dotson Marsh South,DTS_T1_20,T1,20,-122.3642,37.9817,193.0300,258.1596,5.9343,2.0266,
Dotson Marsh South,DTS_T1_40,T1,40,-122.3645,37.9818,186.0810,268.9268,21.2883,1.9448,
Dotson Marsh South,DTS_T1_60,T1,60,-122.3647,37.9819,182.6412,282.9591,33.2848,1.7340,
Dotson Marsh South,DTS_T1_80,T1,80,-122.3649,37.9822,189.4279,307.0092,10.9590,1.7940,
Dotson Marsh South,DTS_T2_20,T2,20,-122.3648,37.9807,85.6034,150.3009,2.6009,1.8015,
Dotson Marsh South,DTS_T2_40,T2,40,-122.3650,37.9809,86.4178,168.3383,24.8032,1.9109,
Dotson Marsh South,DTS_T2_60,T2,60,-122.3652,37.9811,88.3123,192.7800,22.1226,1.7215,
Dotson Marsh South,DTS_T2_80,T2,80,-122.3654,37.9813,86.8140,215.7867,4.6385,,
Flood Control Basin,FLC_T1_20,T1,20,-122.1033,37.4378,366.5314,515.3258,293.4245,0.5326,
Flood Control Basin,FLC_T1_40,T1,40,-122.1036,37.4379,380.4852,504.7967,307.2089,0.3586,
Flood Control Basin,FLC_T1_60,T1,60,-122.1038,37.4379,394.9956,494.1998,321.0584,0.2805,
Flood Control Basin,FLC_T1_80,T1,80,-122.1040,37.4380,409.9701,483.6029,335.3718,0.2290,
Flood Control Basin,FLC_T1_100,T1,100,-122.1042,37.4380,421.3264,473.0062,350.2447,0.3113,
Flood Control Basin,FLC_T1_120,T1,120,-122.1044,37.4381,401.8839,462.4094,365.6088,0.3026,
Flood Control Basin,FLC_T1_140,T1,140,-122.1046,37.4381,382.4429,451.8127,370.1707,0.4113,
Flood Control Basin,FLC_T1_160,T1,160,-122.1048,37.4382,363.0903,441.2840,350.8777,0.8091,
Flood Control Basin,FLC_T1_180,T1,180,-122.1051,37.4383,343.6577,430.6161,331.5034,0.5478,
Flood Control Basin,FLC_T1_200,T1,200,-122.1053,37.4383,324.2169,420.0196,312.1254,0.4765,
Flood Control Basin,FLC_T2_20,T2,20,-122.1012,37.4407,618.3410,793.0497,299.8133,0.4686,
Flood Control Basin,FLC_T2_40,T2,40,-122.1012,37.4409,643.4461,818.2921,280.2066,0.3440,
Flood Control Basin,FLC_T2_60,T2,60,-122.1012,37.4412,671.1362,846.1260,260.1638,0.3571,
Flood Control Basin,FLC_T2_80,T2,80,-122.1011,37.4414,690.6990,865.7449,246.0524,0.5592,
Flood Control Basin,FLC_T2_100,T2,100,-122.1011,37.4416,715.9931,891.1217,228.7646,0.5059,
Flood Control Basin,FLC_T2_120,T2,120,-122.1011,37.4418,739.0417,914.2327,212.8592,0.5187,
Flood Control Basin,FLC_T2_140,T2,140,-122.1011,37.4420,762.1798,937.7245,197.2904,0.7123,
Flood Control Basin,FLC_T2_160,T2,160,-122.1011,37.4422,772.5130,959.8545,183.4109,0.6602,
Flood Control Basin,FLC_T2_180,T2,180,-122.1011,37.4424,781.3957,979.7651,170.5155,0.6928,
Freeman Island,FRI_T1_20,T1,20,-121.9852,38.0776,2822.7209,4036.8448,22.8969,1.8230,
Freeman Island,FRI_T1_40,T1,40,-121.9851,38.0778,2838.7580,4052.3178,40.5720,1.8660,
Freeman Island,FRI_T1_60,T1,60,-121.9849,38.0779,2851.0027,4063.7002,55.5415,1.7690,
Freeman Island,FRI_T1_80,T1,80,-121.9847,38.0780,2864.7472,4076.5241,73.3673,1.8150,
Freeman Island,FRI_T1_100,T1,100,-121.9845,38.0781,2877.8659,4088.6797,91.4574,1.7080,
Freeman Island,FRI_T1_120,T1,120,-121.9843,38.0782,2890.0404,4099.6239,110.6447,1.8140,
Freeman Island,FRI_T1_140,T1,140,-121.9842,38.0783,2905.3803,4113.8863,112.9724,1.8340,
Freeman Island,FRI_T1_160,T1,160,-121.9840,38.0784,2919.2351,4126.3820,91.6811,1.7990,
Freeman Island,FRI_T1_180,T1,180,-121.9838,38.0785,2934.0562,4139.8720,70.7037,1.6630,
Freeman Island,FRI_T1_200,T1,200,-121.9836,38.0787,2948.1289,4152.4762,50.0665,1.5740,
Freeman Island,FRI_T2_20,T2,20,-121.9861,38.0779,2851.7679,4051.4354,17.9646,1.8410,
Freeman Island,FRI_T2_40,T2,40,-121.9863,38.0780,2859.9658,4051.9639,29.4050,1.9710,
Freeman Island,FRI_T2_60,T2,60,-121.9865,38.0781,2869.4136,4054.5499,15.9975,1.8730,
Freeman Island,FRI_T2_80,T2,80,-121.9867,38.0782,2878.2787,4056.2954,16.7951,1.8440,
Freeman Island,FRI_T2_100,T2,100,-121.9869,38.0782,2884.9100,4055.3317,18.8213,1.8100,
Freeman Island,FRI_T2_120,T2,120,-121.9872,38.0783,2889.1380,4050.5203,26.6585,1.8000,
Freeman Island,FRI_T2_140,T2,140,-121.9873,38.0784,2903.4041,4058.0331,32.4875,1.7600,
Freeman Island,FRI_T2_160,T2,160,-121.9875,38.0785,2920.3564,4069.0562,38.1150,1.7890,
Freeman Island,FRI_T2_180,T2,180,-121.9876,38.0787,2937.4485,4080.5496,51.6640,1.7910,
Freeman Island,FRI_T2_200,T2,200,-121.9877,38.0788,2953.9483,4091.0075,68.0321,1.7300,
Giant Marsh,GIA_T1_20,T1,20,-122.3575,37.9910,266.1212,326.5809,22.7653,1.8640,
Giant Marsh,GIA_T1_40,T1,40,-122.3577,37.9910,269.6017,329.6282,41.4647,1.8329,
Giant Marsh,GIA_T1_60,T1,60,-122.3579,37.9909,272.9802,333.7487,55.4830,1.8521,
Giant Marsh,GIA_T1_80,T1,80,-122.3582,37.9909,277.1576,339.1034,63.2162,1.8612,
Giant Marsh,GIA_T1_100,T1,100,-122.3584,37.9909,282.6517,345.4912,75.5284,1.8532,
Giant Marsh,GIA_T1_120,T1,120,-122.3586,37.9908,289.3696,352.8471,58.8567,1.8555,
Giant Marsh,GIA_T1_140,T1,140,-122.3588,37.9908,297.3784,361.2549,38.8438,1.8409,
Giant Marsh,GIA_T1_160,T1,160,-122.3591,37.9908,306.4871,370.5540,18.8309,1.8408,
Giant Marsh,GIA_T2_20,T2,20,-122.3576,37.9894,109.8787,173.8230,9.2371,2.1532,
Giant Marsh,GIA_T2_40,T2,40,-122.3578,37.9894,117.7486,181.7223,28.9455,1.9838,
Giant Marsh,GIA_T2_60,T2,60,-122.3580,37.9893,128.2865,191.3972,48.6539,1.9484,
Giant Marsh,GIA_T2_80,T2,80,-122.3582,37.9893,140.7635,202.4571,68.3364,2.0224,
Giant Marsh,GIA_T2_100,T2,100,-122.3585,37.9892,154.9440,214.9404,87.9691,1.8358,
Giant Marsh,GIA_T2_120,T2,120,-122.3587,37.9892,170.3005,228.4976,69.6548,1.8119,
Giant Marsh,GIA_T2_140,T2,140,-122.3589,37.9891,186.4274,242.8233,52.6909,1.8404,
Giant Marsh,GIA_T2_160,T2,160,-122.3591,37.9890,203.3480,258.0225,36.0871,1.9256,
Giant Marsh,GIA_T2_180,T2,180,-122.3593,37.9890,220.7871,273.8418,18.5329,1.9060,
Goodyear,GYS_T1_20,T1,20,-122.1056,38.0840,109.2182,189.5336,7.0604,1.9140,
Goodyear,GYS_T1_40,T1,40,-122.1053,38.0839,128.0621,206.9500,27.0741,1.9240,
Goodyear,GYS_T1_60,T1,60,-122.1051,38.0839,146.9060,224.7996,47.0878,1.9340,
Goodyear,GYS_T1_80,T1,80,-122.1049,38.0839,165.6707,242.9034,67.0143,1.8610,
Goodyear,GYS_T1_100,T1,100,-122.1047,38.0839,184.5146,261.3572,80.9302,1.9120,
Goodyear,GYS_T1_120,T1,120,-122.1044,38.0839,203.3109,280.0537,61.2312,1.8860,
Goodyear,GYS_T1_140,T1,140,-122.1042,38.0839,222.1548,298.8940,41.5573,2.0040,
Goodyear,GYS_T2_20,T2,20,-122.1037,38.0842,246.4356,354.3149,31.2301,2.0060,
Goodyear,GYS_T2_40,T2,40,-122.1036,38.0844,242.0527,364.8482,44.9548,1.9370,
Goodyear,GYS_T2_60,T2,60,-122.1036,38.0846,239.0601,372.1200,48.7570,1.9410,
Goodyear,GYS_T2_80,T2,80,-122.1035,38.0847,237.3788,375.2269,44.5029,1.9420,
Goodyear,GYS_T2_100,T2,100,-122.1035,38.0849,235.9462,379.2889,42.2552,1.8890,
Goodyear,GYS_T2_120,T2,120,-122.1034,38.0851,234.5136,376.7824,45.4607,1.9570,
Guadacanal,GUA_T1_20,T1,20,-122.2948,38.1179,486.6184,48.9576,14.6208,1.8627,
Guadacanal,GUA_T1_40,T1,40,-122.2945,38.1179,475.6136,48.8898,15.3063,1.9000,
Guadacanal,GUA_T1_60,T1,60,-122.2943,38.1179,462.4381,47.9616,15.1757,1.7432,
Guadacanal,GUA_T1_80,T1,80,-122.2940,38.1179,450.9327,48.1847,15.4653,1.7517,
Guadacanal,GUA_T1_100,T1,100,-122.2938,38.1180,442.0361,51.2011,19.5125,2.0081,
Guadacanal,GUA_T1_120,T1,120,-122.2936,38.1179,429.2324,49.3388,18.4803,1.8497,
Guadacanal,GUA_T1_140,T1,140,-122.2933,38.1180,418.4858,50.9820,20.7694,2.0763,
Guadacanal,GUA_T1_160,T1,160,-122.2931,38.1180,406.5828,51.5020,21.6410,2.0833,
Guadacanal,GUA_T1_180,T1,180,-122.2929,38.1180,395.3218,52.0543,22.7474,2.1518,
Guadacanal,GUA_T1_200,T1,200,-122.2926,38.1180,384.4464,53.3811,24.4531,2.2421,
Guadacanal,GUA_T2_20,T2,20,-122.2915,38.1179,319.5016,42.1158,13.6727,2.1298,
Guadacanal,GUA_T2_40,T2,40,-122.2916,38.1181,338.4693,62.5139,34.0947,2.1895,
Guadacanal,GUA_T2_60,T2,60,-122.2916,38.1183,357.1039,84.0349,55.6241,1.3930,
Guadacanal,GUA_T2_80,T2,80,-122.2916,38.1184,372.0387,103.3558,74.9405,1.9664,
Guadacanal,GUA_T2_100,T2,100,-122.2916,38.1186,390.5185,123.9829,95.5799,1.9971,
Guadacanal,GUA_T2_120,T2,120,-122.2916,38.1188,407.8428,144.8460,116.4461,1.0634,
Guadacanal,GUA_T2_140,T2,140,-122.2929,38.1182,415.1640,74.7363,45.2696,1.9917,
Guadacanal,GUA_T2_160,T2,160,-122.2931,38.1182,431.6551,79.6960,49.7827,1.6978,
Guadacanal,GUA_T2_180,T2,180,-122.2934,38.1182,445.5880,80.7711,50.4396,1.6903,
Guadacanal,GUA_T2_200,T2,200,-122.2937,38.1182,457.4522,79.7189,48.6614,1.7962,
Haystack,HAY_T1_20,T1,20,-122.6126,38.2274,193.6544,90.8254,4.0984,2.0617,
Haystack,HAY_T1_40,T1,40,-122.6125,38.2272,202.2979,92.7268,2.4111,,
Haystack,HAY_T1_60,T1,60,-122.6124,38.2271,182.4313,88.1153,0.6512,2.0774,
Haystack,HAY_T1_80,T1,80,-122.6123,38.2269,162.2826,84.6663,0.3815,2.1876,
Haystack,HAY_T1_100,T1,100,-122.6122,38.2267,142.8486,81.1665,1.3041,,
Haystack,HAY_T1_120,T1,120,-122.6121,38.2265,122.7457,78.2290,1.3661,2.2821,
Haystack,HAY_T1_140,T1,140,-122.6120,38.2264,102.9114,76.7287,2.1912,,
Haystack,HAY_T1_160,T1,160,-122.6119,38.2262,83.4857,79.0158,2.0677,,
Haystack,HAY_T1_180,T1,180,-122.6117,38.2261,71.0917,89.1279,4.0903,,
Haystack,HAY_T1_200,T1,200,-122.6115,38.2260,58.0395,93.1648,0.1436,2.0706,
Haystack,HAY_T2_20,T2,20,-122.6112,38.2260,56.6217,93.7943,3.4999,2.2945,
Haystack,HAY_T2_40,T2,40,-122.6110,38.2260,54.2312,98.2008,1.5391,2.2538,
Haystack,HAY_T2_60,T2,60,-122.6108,38.2260,51.8166,106.3178,2.2384,2.1792,
Haystack,HAY_T2_80,T2,80,-122.6105,38.2261,58.5427,124.4151,8.1456,2.2056,
Haystack,HAY_T2_100,T2,100,-122.6107,38.2263,76.3534,131.0962,2.6393,1.9589,
Haystack,HAY_T2_120,T2,120,-122.6109,38.2264,89.8515,136.0895,3.9855,2.0711,
Haystack,HAY_T2_140,T2,140,-122.6110,38.2265,106.1576,147.4657,1.7211,2.2295,
Haystack,HAY_T2_160,T2,160,-122.6113,38.2266,117.6890,148.2773,7.0158,2.1557,
Haystack,HAY_T2_180,T2,180,-122.6114,38.2267,132.7402,140.2253,7.5313,2.1963,
Haystack,HAY_T2_200,T2,200,-122.6116,38.2268,147.8184,133.6529,4.6698,2.1582,
Head Albrae,HED_T1_20,T1,20,-121.9954,37.4911,426.2350,799.6256,11.4993,1.3871,
Head Albrae,HED_T1_40,T1,40,-121.9955,37.4909,445.5138,818.2788,20.6769,1.4669,
Head Albrae,HED_T1_60,T1,60,-121.9956,37.4907,465.2488,837.6858,27.0298,1.4831,
Head Albrae,HED_T1_80,T1,80,-121.9957,37.4906,483.4008,855.4832,34.7556,1.4557,
Head Albrae,HED_T1_100,T1,100,-121.9958,37.4904,500.6275,872.3229,44.7243,1.3272,
Head Albrae,HED_T1_120,T1,120,-121.9958,37.4902,516.9122,888.2139,58.6669,1.4857,
Head Albrae,HED_T1_140,T1,140,-121.9959,37.4901,533.4799,904.5959,70.7930,1.5026,
Head Albrae,HED_T1_160,T1,160,-121.9959,37.4899,552.1008,923.1639,80.9019,1.5739,
Head Albrae,HED_T1_180,T1,180,-121.9960,37.4897,567.6024,938.7306,94.6225,1.3286,
Head Albrae,HED_T1_200,T1,200,-121.9960,37.4895,584.9850,956.2797,80.7985,1.1484,
Head Albrae,HED_T2_20,T2,20,-121.9916,37.4883,520.4151,874.7330,10.7177,1.5883,
Head Albrae,HED_T2_40,T2,40,-121.9914,37.4882,524.0618,874.5331,25.8475,1.7036,
Head Albrae,HED_T2_60,T2,60,-121.9912,37.4881,532.8068,879.0654,45.3259,1.6848,
Head Albrae,HED_T2_80,T2,80,-121.9910,37.4880,542.5154,884.2646,65.3483,1.5025,
Head Albrae,HED_T2_100,T2,100,-121.9908,37.4880,549.6389,886.8185,82.9331,1.5708,
Head Albrae,HED_T2_120,T2,120,-121.9906,37.4879,559.0262,891.4277,101.7479,1.6984,
Head Albrae,HED_T2_140,T2,140,-121.9904,37.4878,566.8291,894.1611,119.3994,1.6318,
Head Albrae,HED_T2_160,T2,160,-121.9902,37.4878,575.5096,897.7370,123.0852,1.6359,
Head Albrae,HED_T2_180,T2,180,-121.9900,37.4877,585.8511,903.0296,113.7540,1.6139,
Head Albrae,HED_T2_200,T2,200,-121.9898,37.4876,595.4221,907.5210,103.1161,1.6152,
Heerdt,HRT_T1_20,T1,20,-122.5098,37.9382,238.3644,533.7842,130.2434,1.6593,
Heerdt,HRT_T1_40,T1,40,-122.5095,37.9382,258.2216,553.7318,149.2644,1.6538,
Heerdt,HRT_T1_60,T1,60,-122.5093,37.9382,278.1855,573.7669,149.9395,1.6090,
Heerdt,HRT_T1_80,T1,80,-122.5091,37.9381,298.0854,593.7267,144.2056,1.6404,
Heerdt,HRT_T1_100,T1,100,-122.5089,37.9381,317.9896,613.6768,139.0782,1.6006,
Heerdt,HRT_T2_20,T2,20,-122.5127,37.9405,32.8346,209.4320,20.7340,1.6237,
Heerdt,HRT_T2_40,T2,40,-122.5125,37.9406,50.8167,216.4871,40.6578,1.6496,
Heerdt,HRT_T2_60,T2,60,-122.5123,37.9407,68.7878,224.9636,60.5264,1.6480,
Heerdt,HRT_T2_80,T2,80,-122.5121,37.9408,86.7767,234.7084,80.4501,1.7019,
Hercules,HER_T1_20,T1,20,-122.2923,38.0163,80.8178,62.3491,7.2445,2.2483,
Hercules,HER_T1_40,T1,40,-122.2924,38.0162,80.5834,57.4152,8.1946,2.1900,
Hercules,HER_T1_60,T1,60,-122.2926,38.0161,87.1838,61.1030,7.5886,2.0456,
Hercules,HER_T1_80,T1,80,-122.2927,38.0159,97.3427,70.2536,15.3882,2.0621,
Hercules,HER_T1_100,T1,100,-122.2929,38.0158,112.6136,85.7072,14.0366,2.1434,
Hercules,HER_T1_120,T1,120,-122.2931,38.0157,129.7672,103.4932,8.6070,2.0941,
Hercules,HER_T1_140,T1,140,-122.2933,38.0156,146.8352,121.2512,14.7872,2.1135,
Hercules,HER_T1_160,T1,160,-122.2935,38.0155,166.3674,141.2588,17.7852,2.0396,
Hercules,HER_T1_180,T1,180,-122.2937,38.0154,183.8005,159.2680,18.9857,2.0290,
Hercules,HER_T1_200,T1,200,-122.2939,38.0153,202.7137,178.7763,16.6693,2.0131,
Hercules,HER_T2_20,T2,20,-122.2938,38.0147,177.1926,200.3264,30.1938,2.0424,
Hercules,HER_T2_40,T2,40,-122.2940,38.0147,186.1405,216.8245,47.7279,2.1610,
Hercules,HER_T2_60,T2,60,-122.2943,38.0148,172.3544,217.1650,35.3771,2.0990,
Hercules,HER_T2_80,T2,80,-122.2945,38.0148,157.5996,213.9922,26.5479,2.1120,
Hercules,HER_T2_100,T2,100,-122.2947,38.0148,142.8544,212.4150,20.9921,2.0076,
Hercules,HER_T2_120,T2,120,-122.2950,38.0148,130.7290,215.4136,18.9670,2.0629,
Hercules,HER_T2_140,T2,140,-122.2952,38.0147,115.0667,213.5555,18.1449,2.0639,
Hill Slough 8,HS8_T1_20,T1,20,-121.9808,38.2241,1495.3346,733.8613,38.4044,2.0050,
Hill Slough 8,HS8_T1_40,T1,40,-121.9810,38.2240,1496.6863,751.4742,48.1016,2.0160,
Hill Slough 8,HS8_T1_60,T1,60,-121.9812,38.2239,1498.2036,769.0518,58.9176,1.9810,
Hill Slough 8,HS8_T1_80,T1,80,-121.9814,38.2238,1500.0869,786.7232,73.5541,1.9930,
Hill Slough 8,HS8_T1_100,T1,100,-121.9816,38.2237,1502.2349,804.3945,90.2862,2.0420,
Hill Slough 8,HS8_T1_120,T1,120,-121.9818,38.2236,1504.5437,821.9830,100.6805,1.9700,
Hill Slough 8,HS8_T1_140,T1,140,-121.9820,38.2236,1507.2171,839.7546,91.8646,1.9600,
Hill Slough 8,HS8_T1_160,T1,160,-121.9822,38.2235,1510.0476,857.5337,84.5660,1.9490,
Hill Slough 8,HS8_T1_180,T1,180,-121.9824,38.2234,1513.2708,875.4491,81.4812,1.9400,
Hill Slough 8,HS8_T1_200,T1,200,-121.9826,38.2233,1516.7207,893.4510,78.7318,2.0010,
Hill Slough 8,HS8_T2_20,T2,20,-121.9834,38.2224,1593.1273,1018.5967,17.4951,1.9410,
Hill Slough 8,HS8_T2_40,T2,40,-121.9836,38.2224,1579.0948,1020.3944,34.8478,1.9230,
Hill Slough 8,HS8_T2_60,T2,60,-121.9838,38.2225,1565.0841,1022.1489,52.3083,1.9520,
Hill Slough 8,HS8_T2_80,T2,80,-121.9840,38.2226,1551.3131,1024.3328,70.0123,1.9680,
Hill Slough 8,HS8_T2_100,T2,100,-121.9842,38.2227,1537.6782,1026.9007,85.9575,1.9570,
Hill Slough 8,HS8_T2_120,T2,120,-121.9844,38.2228,1524.1636,1029.7824,101.5212,1.9610,
Hill Slough 8,HS8_T2_140,T2,140,-121.9846,38.2229,1510.8131,1032.6187,116.4572,1.9520,
Hill Slough 8,HS8_T2_160,T2,160,-121.9848,38.2230,1497.6099,1035.5932,127.3951,1.9170,
Hill Slough 8,HS8_T2_180,T2,180,-121.9850,38.2231,1484.4493,1038.8520,138.6639,1.9830,
Hill Slough 8,HS8_T2_200,T2,200,-121.9852,38.2232,1471.5527,1042.3513,150.6680,1.9000,
Ideal Marsh,IDM_T1_20,T1,20,-122.1131,37.5385,3923.3971,1906.3647,48.7495,2.1320,
Ideal Marsh,IDM_T1_40,T1,40,-122.1133,37.5384,3946.4249,1918.4150,71.7230,2.1012,
Ideal Marsh,IDM_T1_60,T1,60,-122.1136,37.5384,3965.8441,1928.0229,91.1961,2.0683,
Ideal Marsh,IDM_T1_80,T1,80,-122.1138,37.5383,3988.4765,1939.3073,113.8747,2.0207,
Ideal Marsh,IDM_T1_100,T1,100,-122.1140,37.5382,4006.9431,1943.8986,133.2068,2.1068,
Ideal Marsh,IDM_T1_120,T1,120,-122.1142,37.5381,4026.9542,1950.6826,136.9249,2.0350,
Ideal Marsh,IDM_T1_140,T1,140,-122.1144,37.5380,4046.1487,1956.0098,116.9047,2.1119,
Ideal Marsh,IDM_T1_160,T1,160,-122.1147,37.5379,4074.6954,1968.5797,88.0574,2.0888,
Ideal Marsh,IDM_T1_180,T1,180,-122.1149,37.5378,4093.8009,1970.1969,67.0640,2.1230,
Ideal Marsh,IDM_T1_200,T1,200,-122.1151,37.5376,4117.7839,1975.0175,42.2270,2.1642,
Ideal Marsh,IDM_T2_20,T2,20,-122.1091,37.5334,3684.1522,1268.1049,19.0137,2.0895,
Ideal Marsh,IDM_T2_40,T2,40,-122.1093,37.5336,3709.3547,1296.6429,46.9977,2.0952,
Ideal Marsh,IDM_T2_60,T2,60,-122.1095,37.5338,3728.3499,1317.8458,67.3395,2.0874,
Ideal Marsh,IDM_T2_80,T2,80,-122.1096,37.5340,3751.0655,1343.4949,92.5466,2.0868,
Ideal Marsh,IDM_T2_100,T2,100,-122.1098,37.5342,3773.2922,1368.5631,112.3515,2.1103,
Ideal Marsh,IDM_T2_120,T2,120,-122.1099,37.5343,3781.9602,1389.7952,117.2548,2.0985,
Ideal Marsh,IDM_T2_140,T2,140,-122.1101,37.5345,3790.2736,1416.1796,118.9346,2.0999,
Ideal Marsh,IDM_T2_160,T2,160,-122.1103,37.5347,3794.9908,1434.8792,116.1197,2.0883,
Ideal Marsh,IDM_T2_180,T2,180,-122.1105,37.5348,3813.7652,1464.9508,120.1339,2.0735,
Ideal Marsh,IDM_T2_200,T2,200,-122.1107,37.5349,3821.1526,1484.7413,113.9275,2.1116,
Inner Bair,INB_T1_20,T1,20,-122.2264,37.5003,155.6522,192.3603,23.8226,2.4616,
Inner Bair,INB_T1_40,T1,40,-122.2266,37.5003,175.6832,212.1174,38.9577,2.6459,
Inner Bair,INB_T1_60,T1,60,-122.2269,37.5002,195.6403,231.8302,53.1274,2.6668,
Inner Bair,INB_T1_80,T1,80,-122.2271,37.5002,215.6852,251.6699,67.0172,2.4718,
Inner Bair,INB_T1_100,T1,100,-122.2273,37.5002,235.6423,271.4514,80.6991,2.3800,
Inner Bair,INB_T1_120,T1,120,-122.2275,37.5002,240.2147,291.3435,94.2580,2.3800,
Inner Bair,INB_T1_140,T1,140,-122.2278,37.5001,238.6191,311.1508,107.7654,2.3800,
Inner Bair,INB_T1_160,T1,160,-122.2280,37.5001,237.0273,331.0494,120.3221,2.3800,
Inner Bair,INB_T2_20,T2,20,-122.2281,37.5011,311.1620,355.6286,22.8423,2.3800,
Inner Bair,INB_T2_40,T2,40,-122.2282,37.5010,321.1358,364.6451,42.5027,2.3800,
Inner Bair,INB_T2_60,T2,60,-122.2285,37.5006,296.0833,377.7041,87.8318,2.3800,
Joice Island,JOI_T1_20,T1,20,-121.9971,38.1939,4710.4030,116.5958,53.7378,1.9600,
Joice Island,JOI_T1_40,T1,40,-121.9972,38.1937,4728.9217,136.1662,73.6944,1.9650,
Joice Island,JOI_T1_60,T1,60,-121.9973,38.1936,4747.4637,155.7629,91.9427,2.0050,
Joice Island,JOI_T1_80,T1,80,-121.9974,38.1934,4766.0064,175.3333,75.1616,1.9230,
Joice Island,JOI_T1_100,T1,100,-121.9975,38.1933,4784.5609,194.9036,59.9874,1.9100,
Joice Island,JOI_T1_120,T1,120,-121.9976,38.1931,4803.1269,214.4740,43.9379,1.9790,
Joice Island,JOI_T1_140,T1,140,-121.9977,38.1930,4821.7045,234.0444,28.2634,1.9800,
Joice Island,JOI_T2_20,T2,20,-121.9942,38.1933,4712.7281,94.2179,40.7237,1.9810,
Joice Island,JOI_T2_40,T2,40,-121.9943,38.1931,4725.8040,114.1301,60.5610,2.0400,
Joice Island,JOI_T2_60,T2,60,-121.9943,38.1929,4738.9280,134.0423,71.6628,1.9540,
Joice Island,JOI_T2_80,T2,80,-121.9944,38.1928,4752.1434,154.0569,51.9994,1.9480,
